1977,0.027925
1978,0.05545
1980,0.046824999999999985
1981,0.06537222222222222
1982,0.05751326530612244
1983,0.07486000000000001
1985,0.15846666666666667
1986,0.37385724637826095
1987,0.09150476190285715
1988,0.07762115942028984
1989,0.113178333325
1990,0.07710000001538461
1991,0.05813333333199999
1992,0.10622222222222222
1993,0.06688181818181818
1994,0.19368594392523364
1995,0.05435725714285714
1996,0.054656
1997,0.2632277709280421
1998,0.056348369415384604
1999,0.08542146205576925
2000,0.30727775073740027
2001,0.25733920995238097
2002,0.6836035862754388
2003,0.46440489458689477
2004,0.5382666666666667
2005,0.09127087614960633
2006,0.4135740608029411
2007,0.1651453171304348
2008,0.06818130929948459
2009,0.28871435896312525
2010,0.05720854928832955
2012,0.5140733872000001
2013,0.07013887120454547
2014,0.17193144444444447
2015,0.3505000000000001
2016,0.5964722222222223
2017,0.38917656250000005
2018,0.5645405405405406
