1985,0.6000000000000001
1986,0.6913043478260869
1987,0.12
1988,0.21
1989,0.08
1994,0.27425
1997,0.4384484945608696
1998,0.08782810966666667
1999,0.4017809867777778
2000,0.2647945205479452
2001,0.5529999999999999
2002,0.5359999999999999
2003,0.35665172413793106
2006,0.4178421052631579
2007,0.5532328767123288
2008,0.21270212308421055
2009,0.38042960000869563
2010,0.045225540866666664
2013,0.16108333333333333
2014,0.33183333333333337
2015,0.37609090909090914
2016,0.2524545454545455
2017,0.44545238095238093
